Federal subject name;Federal subject code;Total expenditure;Federal budget;Federal subject budget;Local authority budgets;Retirement fund budget of Russia;Federal fund budget of compulsory medical insurance;Social insurance fund budget of Russia;Territorial government non-budgetary fund budget;Budget level is unknown
Приморский край;25;39 836 604 925;8 179 814 991;11 000 740 903;10 971 483 373;116 472 058;19 255 916;400 345 337;23 341 660;9 125 150 687
Псковская область;60;11 735 185 175;2 309 534 978;3 467 462 998;4 098 282 886;35 848 901;2 011 608;253 961 625;3 359 760;1 564 722 419
Республика Адыгея;01;7 040 717 243;800 821 163;3 402 300 855;1 638 942 229;48 041 038;2 660 223;102 064 568;3 004 421;1 042 882 746
Республика Алтай;04;7 635 685 738;709 776 738;4 040 742 649;2 331 256 161;78 206 041;4 555 181;67 733 682;558 804;402 856 482
Республика Башкортостан;02;64 160 929 439;8 618 986 645;14 706 148 134;29 162 380 104;120 947 367;13 967 777;1 311 551 402;19 333 433;10 207 614 577
Республика Бурятия;03;23 933 526 072;8 596 654 765;6 958 986 254;6 392 388 133;86 929 707;2 413 099;291 050 046;10 554 402;1 594 549 666
Республика Дагестан;05;28 007 398 083;4 293 530 758;15 466 100 855;3 505 586 867;148 426 188;32 575 259;231 631 814;85 108 854;4 244 437 488
Республика Ингушетия;06;14 352 336 489;1 241 845 150;12 184 029 718;477 616 458;23 266 700;1 087 432;116 909 917;;307 581 114
Республика Калмыкия;08;3 938 231 623;901 403 539;1 264 946 599;1 412 958 378;19 370 310;1 076 178;113 753 707;950 307;223 772 605
Республика Карелия;10;32 566 733 074;9 549 151 420;15 930 640 189;3 158 624 073;140 577 438;5 730 027;233 636 965;2 348 507;3 546 024 455
Республика Коми;11;22 469 146 230;2 658 015 444;10 896 617 176;5 783 563 623;82 278 870;7 532 941;430 004 448;5 524 000;2 605 609 728
Республика Марий Эл;12;14 163 816 459;1 682 173 950;6 271 659 399;3 683 835 105;41 033 288;1 379 346;213 123 436;3 414 452;2 267 197 483
Республика Мордовия;13;23 625 743 519;2 325 929 413;12 610 952 559;6 976 114 762;43 669 205;6 403 561;219 794 689;10 695 250;1 432 184 080
Республика Саха (Якутия);14;72 204 695 650;17 378 673 484;15 335 746 195;27 298 105 318;379 895 529;369 124 233;441 733 360;17 876 958;10 983 540 573
Республика Северная Осетия — Алания;15;12 737 456 269;2 395 586 255;5 827 487 711;2 805 892 446;76 696 492;1 059 491;140 368 119;2 915 445;1 487 450 310
Республика Татарстан;16;125 113 096 311;21 289 620 129;77 850 336 099;17 285 548 589;281 854 803;108 368 050;329 300 640;10 590 204;7 957 477 797
Республика Тыва;17;7 840 639 358;3 256 409 012;2 874 775 791;427 218 355;24 562 813;2 044 552;74 737 192;6 258 491;1 174 633 152
Республика Хакасия;19;16 505 712 321;2 298 982 825;9 685 979 942;2 464 557 176;11 988 110;14 864 450;138 768 495;4 886 942;1 885 684 381
Ростовская область;61;73 971 122 759;17 340 126 084;18 322 542 420;23 089 571 274;162 748 997;98 695 803;833 930 522;152 574 351;13 970 933 308
Рязанская область;62;16 407 821 322;2 063 156 710;6 245 021 260;4 753 043 128;98 773 390;129 687 734;95 230 397;182 084 919;2 840 823 784
